Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes,Notes from original source,License URL
SH.DYN.MORT.MA,CC BY-4.0,"Mortality rate, under-5, male (per 1,000 live births)",,"Under-five mortality rate, male is the probability per 1,000 that a newborn male baby will die before reaching age five, if subject to male age-specific mortality rates of the specified year.","Estimates Developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",Health: Mortality,,,Annual,,Weighted average,"The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A "complete" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.

Estimates of neonatal, infant, and child mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparisons across countries and over time difficult. To make neonatal, infant, and child mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the World Bank, the United Nations Population Division, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific regression model of mortality rates against their reference dates.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.","Given that data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. Moreover, they are among the indicators most frequently used to compare socioeconomic development across countries. Under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality captures the effect of gender discrimination better than infant mortality does, as malnutrition and medical interventions have more significant impacts to this age group. Where female under-five mortality is higher, girls are likely to have less access to resources than boys.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.POV.MDIM,CC BY-4.0,Multidimensional poverty headcount ratio (% of total population),The percentage of people who are multidimensionally poor,,Government statistical agencies. Data for EU countires are from the EUROSTAT,Poverty: Poverty rates,,%,,,,,,"It should be clearly noted that these multidimensional indicators are not comparable across countries. For instance, AF methodology and AROPE are fundamentally very different, and although both produce some headcount ratio of people who are considered as “multidimensionally poor”, their definition of multidimensionality of poverty is utterly different, and so should not be compared. Besides, even when they use the same approach, the numbers are not comparable across countries, as the important parameters to calculate the figures such as the number of indicators and the weight allocated to each indicator are tailored depending on the country specific context.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.POV.MDIM.17,CC BY-4.0,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",The percentage of children who are multidimensionally poor,,Government statistical agencies. Data for EU countires are from the EUROSTAT,Poverty: Poverty rates,,%,,,,,,"It should be clearly noted that these multidimensional indicators are not comparable across countries. For instance, AF methodology and AROPE are fundamentally very different, and although both produce some headcount ratio of people who are considered as “multidimensionally poor”, their definition of multidimensionality of poverty is utterly different, and so should not be compared.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.POV.MDIM.FE,CC BY-4.0,"Multidimensional poverty headcount ratio, female (% of female population)",The percentage of female population who are multidimensionally poor,,Government statistical agencies. Data for EU countires are from the EUROSTAT,Poverty: Poverty rates,,%,,,,,,"It should be clearly noted that these multidimensional indicators are not comparable across countries. For instance, AF methodology and AROPE are fundamentally very different, and although both produce some headcount ratio of people who are considered as “multidimensionally poor”, their definition of multidimensionality of poverty is utterly different, and so should not be compared. Besides, even when they use the same approach, the numbers are not comparable across countries, as the important parameters to calculate the figures such as the number of indicators and the weight allocated to each indicator are tailored accoding to the country specific context.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.POV.MDIM.HH,CC BY-4.0,"Multidimensional poverty headcount ratio, household (% of total households)",The percentage of households who are multidimensionally poor,,Government statistical agencies. Data for EU countires are from the EUROSTAT,Poverty: Poverty rates,,,,,,,,It should be clearly noted that these multidimensional indicators are not comparable across countries as the important parameters to calculate the figures such as the number of indicators and the weight allocated to each indicator are tailored accoding to each country specific context.,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.POV.MDIM.MA,CC BY-4.0,"Multidimensional poverty headcount ratio, male (% of male population)",The percentage of male population who are multidimensionally poor,,Government statistical agencies. Data for EU countires are from the EUROSTAT,Poverty: Poverty rates,,%,,,,,,"It should be clearly noted that these multidimensional indicators are not comparable across countries. For instance, AF methodology and AROPE are fundamentally very different, and although both produce some headcount ratio of people who are considered as “multidimensionally poor”, their definition of multidimensionality of poverty is utterly different, and so should not be compared. Besides, even when they use the same approach, the numbers are not comparable across countries, as the important parameters to calculate the figures such as the number of indicators and the weight allocated to each indicator are tailored accoding to the country specific context.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.POV.MDIM.XQ,CC BY-4.0,Multidimensional poverty index (scale 0-1),Proportion of the population that is multidimensionally poor adjusted by the intensity of the deprivations,,Government statistical agencies. Data for EU countires are from the EUROSTAT,Poverty: Poverty rates,,,,,,,,"The MPI here is a national MPI reported by each country and differs from the global MPI collected by the UNDP. Unlike the global MPI which uses the same dimensions and indicators, the national MPI is calculated using different dimensions and indicators by each country, therefore, it is not comparable across countries.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.POV.MDIM.17.XQ,CC BY-4.0,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",Proportion of the child population that is multidimensionally poor adjusted by the intensity of the deprivations,,Government statistical agencies. Data for EU countires are from the EUROSTAT,Poverty: Poverty rates,,,,,,,,"The MPI here is a national MPI reported by each country and differs from the global MPI collected by the UNDP. Unlike the global MPI which uses the same dimensional and indicators, the national MPI is calculated using different dimensions and indicators by each country, therefore, it is not comparable across countries.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.POV.MDIM.IT,CC BY-4.0,Multidimensional poverty intensity (average share of deprivations experienced by the poor),,,Government statistical agencies. Data for EU countires are from the EUROSTAT,Poverty: Poverty rates,,%,,,,,,"It should be noted that the intensity is not comparable across diffferent countries as it depends on the parameters used in the methodology such as what kind of dimensions and indicators are used, and how the weight is constructed, which varies significantly across countries.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
DT.TDS.MLAT.PG.ZS,CC BY-4.0,Multilateral debt service (% of public and publicly guaranteed debt service),"Multilateral debt service is the repayment of principal and interest to the World Bank, regional development banks, and other multilateral agencies.","Multilateral debt service is the repayment of principal and interest to the World Bank, regional development banks, and other multilateral agencies. public and publicly guaranteed debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,,Annual,,Weighted average,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
NY.GDP.NGAS.RT.ZS,CC BY-4.0,Natural gas rents (% of GDP),,Natural gas rents are the difference between the value of natural gas production at world prices and total costs of production.,"Estimates based on sources and methods described in "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (World Bank, 2011).",Environment: Natural resources contribution to GDP,,,Annual,,Weighted average,The estimates of natural resources rents are calculated as the difference between the price of a commodity and the average cost of producing it. This is done by estimating the world price of units of specific commodities and subtracting estimates of average unit costs of extraction or harvesting costs (including a normal return on capital). These unit rents are then multiplied by the physical quantities countries extract or harvest to determine the rents for each commodity as a share of gross domestic product (GDP).,"Accounting for the contribution of natural resources to economic output is important in building an analytical framework for sustainable development. In some countries earnings from natural resources, especially from fossil fuels and minerals, account for a sizable share of GDP, and much of these earnings come in the form of economic rents - revenues above the cost of extracting the resources.

Natural resources give rise to economic rents because they are not produced. For produced goods and services competitive forces expand supply until economic profits are driven to zero, but natural resources in fixed supply often command returns well in excess of their cost of production. Rents from nonrenewable resources - fossil fuels and minerals - as well as rents from overharvesting of forests indicate the liquidation of a country's capital stock. When countries use such rents to support current consumption rather than to invest in new capital to replace what is being used up, they are, in effect, borrowing against their future.","This definition of economic rent differs from that used in the System of National Accounts, where rents are a form of property income, consisting of payments to landowners by a tenant for the use of the land or payments to the owners of subsoil assets by institutional units permitting them to extract subsoil deposits.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SM.POP.NETM,CC BY-4.0,Net migration,"Net migration is the number of immigrants minus the number of emigrants, including citizens and noncitizens, for the five-year period.","Net migration is the net total of migrants during the period, that is, the total number of immigrants less the annual number of emigrants, including both citizens and noncitizens. Data are five-year estimates.",United Nations Population Division. World Population Prospects: 2019 Revision.,Social Protection & Labor: Migration,,,Annual,,Sum,"The United Nations Population Division provides data on net migration and migrant stock. Because data on migrant stock is difficult for countries to collect, the United Nations Population Division takes into account the past migration history of a country or area, the migration policy of a country, and the influx of refugees in recent periods when deriving estimates of net migration. The data to calculate these estimates come from a variety of sources, including border statistics, administrative records, surveys, and censuses.

When there is insufficient data, net migration is derived through the difference between the overall population growth rate and the rate of natural increase (the difference between the birth rate and the death rate) during the same period. Such calculations are usually made for intercensal periods. The estimates are also derived from the data on foreign-born population - people who have residence in one country but were born in another country. When data on the foreign-born population are not available, data on foreign population - that is, people who are citizens of a country other than the country in which they reside - are used as estimates.","Movement of people, most often through migration, is a significant part of global integration. Migrants contribute to the economies of both their host country and their country of origin. Yet reliable statistics on migration are difficult to collect and are often incomplete, making international comparisons a challenge.

Global migration patterns have become increasingly complex in modern times, involving not just refugees, but also millions of economic migrants. In most developed countries, refugees are admitted for resettlement and are routinely included in population counts by censuses or population registers.

But refugees and migrants, even if they often travel in the same way, are fundamentally different, and for that reason are treated very differently under modern international law. Migrants, especially economic migrants, choose to move in order to improve the future prospects of themselves and their families. Refugees have to move if they are to save their lives or preserve their freedom.","International migration is the component of population change most difficult to measure and estimate reliably. Thus, the quality and quantity of the data used in the estimation and projection of net migration varies considerably by country. Furthermore, the movement of people across international boundaries, which is very often a response to changing socio-economic, political and environmental forces, is subject to a great deal of volatility. Refugee movements, for instance, may involve large numbers of people moving across boundaries in a short time. For these reasons, projections of future international migration levels are the least robust part of current population projections and reflect mainly a continuation of recent levels and trends in net migration.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.DTH.0514,CC BY-4.0,Number of deaths ages 5-14 years,,Number of deaths of children ages 5-14 years,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",Health: Mortality,,,Annual,,Sum,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.DTH.IMRT,CC BY-4.0,Number of infant deaths,,Number of infants dying before reaching one year of age.,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",Health: Mortality,,,Annual,,Sum,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.DTH.NMRT,CC BY-4.0,Number of neonatal deaths,,Number of neonates dying before reaching 28 days of age.,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",Health: Mortality,,,Annual,,Sum,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.UHC.NOP1.TO,CC BY-4.0,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Impoverishment at the $1.90 Poverty Line,"Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure. This indicator shows the number of households experiencing impoverishing expenditures, defined as expenditures without which the household would have been above the $1.90 poverty line, but because of the expenditures is below the poverty line.",World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,Health: Universal Health Coverage,,,Annual,,Sum,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are impoverishing at the $1.90 PL (PPP) for a household when consumption gross of out-of-pocket payments is higher than the $1.90 PL, but consumption net of out-of-pocket payments is lower than the 1.90 PL.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.UHC.NOP2.TO,CC BY-4.0,Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Impoverishment at the $3.20 Poverty Line,"Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure. This indicator shows the number of households experiencing impoverishing expenditures, defined as expenditures without which the household would have been above the $1.90 poverty line, but because of the expenditures is below the poverty line.",World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,Health: Universal Health Coverage,,,Annual,,Sum,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are impoverishing at the $3.10 PL (PPP) for a household when consumption gross of out-of-pocket payments is higher than the $3.10 PL, but consumption net of out-of-pocket payments is lower than the 3.10 PL.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.UHC.OOPC.10.TO,CC BY-4.0,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,"Catastrophic Health Expenditure, 10% of total expenditure/income",Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,Health: Universal Health Coverage,,,Annual,,Sum,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are defined as catastrophic at the 10% threshold when they represent 10% or more of total consumption or income.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.UHC.OOPC.25.TO,CC BY-4.0,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,"Catastrophic Health Expenditure, 25% of total expenditure/income (thousands)",Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,World Health Organization and World Bank. 2019. Global Monitoring Report on Financial Protection in Health 2019.,Health: Universal Health Coverage,,,Annual,,Sum,"Out-of-pocket payments are those made by people at the time of getting any type of service (preventive, curative, rehabilitative, palliative or long-term care) provided by any type of provider. They include cost-sharing (the part not covered by a third party like an insurer) and informal payments, but they exclude insurance premiums. Out-of-pocket payments exclude any reimbursement by a third party, such as the government, a health insurance fund or a private insurance company. Out-of-pocket payments are defined as catastrophic at the 25% threshold when they represent 25% or more of total consumption or income.","Universal Health Coverage (UHC) is about ensuring that all people can access the health services they need – without facing financial hardship – is key to improving the well-being of a country’s population. UHC is also an investment in human capital and a foundational driver of inclusive and sustainable economic growth and development. UHC is a target associated with the Sustainable Development Goals (target 3.8), and it relates directly to Goal 3 (Ensure healthy lives and promote well-being for all at all ages) and to Goal 1 (End poverty in all its forms everywhere).",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.DTH.MORT,CC BY-4.0,Number of under-five deaths,,Number of children dying before reaching age five.,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",Health: Mortality,,,Annual,,Sum,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
NY.GDP.PETR.RT.ZS,CC BY-4.0,Oil rents (% of GDP),,Oil rents are the difference between the value of crude oil production at world prices and total costs of production.,"Estimates based on sources and methods described in "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (World Bank, 2011).",Environment: Natural resources contribution to GDP,,,Annual,,Weighted average,The estimates of natural resources rents are calculated as the difference between the price of a commodity and the average cost of producing it. This is done by estimating the world price of units of specific commodities and subtracting estimates of average unit costs of extraction or harvesting costs (including a normal return on capital). These unit rents are then multiplied by the physical quantities countries extract or harvest to determine the rents for each commodity as a share of gross domestic product (GDP).,"Accounting for the contribution of natural resources to economic output is important in building an analytical framework for sustainable development. In some countries earnings from natural resources, especially from fossil fuels and minerals, account for a sizable share of GDP, and much of these earnings come in the form of economic rents - revenues above the cost of extracting the resources.

Natural resources give rise to economic rents because they are not produced. For produced goods and services competitive forces expand supply until economic profits are driven to zero, but natural resources in fixed supply often command returns well in excess of their cost of production. Rents from nonrenewable resources - fossil fuels and minerals - as well as rents from overharvesting of forests indicate the liquidation of a country's capital stock. When countries use such rents to support current consumption rather than to invest in new capital to replace what is being used up, they are, in effect, borrowing against their future.","This definition of economic rent differs from that used in the System of National Accounts, where rents are a form of property income, consisting of payments to landowners by a tenant for the use of the land or payments to the owners of subsoil assets by institutional units permitting them to extract subsoil deposits.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
IP.PAT.NRES,CC BY-4.0,"Patent applications, nonresidents",Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office.,"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.","World Intellectual Property Organization (WIPO), WIPO Patent Report: Statistics on Worldwide Patent Activity. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,,Annual,,Sum,"Non-resident patent applications are from applicants outside the relevant State or region. Patent data cover applications and grants classified by field of technology. International applications series distinguish four subcategories: a) patents taken out by residents of a country in that country; b) patents taken out in a country by non-residents of that country; c) total patents registered in the country or naming it; d) patents taken out outside a country by its residents. Data on patents granted only distinguish between patents awarded to residents and to non-residents. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.

Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention - a product or process that provides a new way of doing something or offers a new technical solution to a problem.","The Patent Cooperation Treaty (www.wipo.int/pct) provides a two phase system for filing patent. International applications under the treaty provide for a national patent grant only - there is no international patent. The national filing represents the applicant's seeking of patent protection for a given territory, whereas international filings, while representing a legal right, do not accurately reflect where patent protection is sought. Resident filings are those from residents of the country concerned. Nonresident filings are from applicants abroad. For regional offices applications from residents of any member state of the regional patent convention are considered nonresident filings. Some offices (notably the U.S. Patent and Trademark Office) use the residence of the inventor rather than the applicant to classify filings.

Patent data are a great resource for the study of technical change in a country or region. Patent data provide a uniquely detailed source of information on inventive activity and the multiple dimensions of the inventive process (e.g. geographical location, technical and institutional origin, individuals and networks). Furthermore, patent data form a consistent basis for comparisons across time and across countries.

Patent data can be used in the analysis of a wide array of topics related to technical change and patenting activity including industry-science linkages, patenting strategies by companies, internationalization of research, and indicators on the value of patents. Patent-based statistics reflect the inventive performance of countries, regions and firms, as well as other aspects of the dynamics of the innovation process such as co-operation in innovation or technology paths.","A patent is an exclusive right granted for a specified period (generally 20 years) for a new way of doing something or a new technical solution to a problem - an invention. The invention must be of practical use and display a characteristic unknown in the existing body of knowledge in its field. Most countries have systems to protect patentable inventions.

Unless otherwise stated, statistics on the number of resident and non-resident patent applications include those filed via the PCT system as PCT national/regional phase entries.",,,,https://datacatalog.worldbank.org/public-licenses#cc-by
IP.PAT.RESD,CC BY-4.0,"Patent applications, residents",Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office.,"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.","World Intellectual Property Organization (WIPO), WIPO Patent Report: Statistics on Worldwide Patent Activity. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,,Annual,,Sum,"Resident patent applications are those for which the first-named applicant or assignee is a resident of the State or region concerned. In the case of regional offices such as the European Patent Office, a resident is an applicant from any of the member States of the regional patent convention.

Patent data cover applications and grants classified by field of technology. International applications series distinguish four subcategories: a) patents taken out by residents of a country in that country; b) patents taken out in a country by non-residents of that country; c) total patents registered in the country or naming it; d) patents taken out outside a country by its residents. Data on patents granted only distinguish between patents awarded to residents and to non-residents. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.

Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention - a product or process that provides a new way of doing something or offers a new technical solution to a problem.","The Patent Cooperation Treaty (www.wipo.int/pct) provides a two phase system for filing patent. International applications under the treaty provide for a national patent grant only - there is no international patent. The national filing represents the applicant's seeking of patent protection for a given territory, whereas international filings, while representing a legal right, do not accurately reflect where patent protection is sought. Resident filings are those from residents of the country concerned. Nonresident filings are from applicants abroad. For regional offices applications from residents of any member state of the regional patent convention are considered nonresident filings. Some offices (notably the U.S. Patent and Trademark Office) use the residence of the inventor rather than the applicant to classify filings.

Patent data are a great resource for the study of technical change in a country or region. Patent data provide a uniquely detailed source of information on inventive activity and the multiple dimensions of the inventive process (e.g. geographical location, technical and institutional origin, individuals and networks). Furthermore, patent data form a consistent basis for comparisons across time and across countries.

Patent data can be used in the analysis of a wide array of topics related to technical change and patenting activity including industry-science linkages, patenting strategies by companies, internationalization of research, and indicators on the value of patents. Patent-based statistics reflect the inventive performance of countries, regions and firms, as well as other aspects of the dynamics of the innovation process such as co-operation in innovation or technology paths.",A patent is an exclusive right granted for a specified period (generally 20 years) for a new way of doing something or a new technical solution to a problem - an invention. The invention must be of practical use and display a characteristic unknown in the existing body of knowledge in its field. Most countries have systems to protect patentable inventions.,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.STA.ODFC.ZS,CC BY-4.0,People practicing open defecation (% of population),,"People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.",WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).,Health: Risk factors,,,Annual,,Weighted average,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.STA.ODFC.RU.ZS,CC BY-4.0,"People practicing open defecation, rural (% of rural population)",,"People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.",WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).,Health: Risk factors,,,Annual,,Weighted average,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.STA.ODFC.UR.ZS,CC BY-4.0,"People practicing open defecation, urban (% of urban population)",,"People practicing open defecation refers to the percentage of the population defecating in the open, such as in fields, forest, bushes, open bodies of water, on beaches, in other open spaces or disposed of with solid waste.",WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/).,Health: Risk factors,,,Annual,,Weighted average,,,,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
